,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
56,EthPriceMintModule_run_code_of_0_block_107_0_input,PUSH0 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP6 DUP8,10,True,True,model,0.48,9,10,26,9,0,0,0,PUSH0 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP6 DUP8,9.0,9.0,10.0,26.0,True,
57,EthPriceMintModule_run_code_of_0_block_119_0_input,PUSH0 DUP1,10,True,True,model,0.12,2,2,5,2,0,0,0,PUSH0 DUP1,2.0,2.0,2.0,5.0,True,
58,EthPriceMintModule_run_code_of_0_block_6_0_input,DUP1 PUSH f851a440 EQ PUSH [tag] 8,10,True,True,model,0.21,4,10,12,4,0,0,0,DUP1 PUSH f851a440 EQ PUSH [tag] 8,4.0,4.0,10.0,12.0,True,
59,EthPriceMintModule_run_code_of_0_block_142_0_input,PUSH0 DUP1,10,True,True,model,0.17,2,2,5,2,0,0,0,PUSH0 DUP1,2.0,2.0,2.0,5.0,True,
60,EthPriceMintModule_run_code_of_0_block_24_0_input,PUSH [tag] 28 PUSH [tag] 29 CALLDATASIZE PUSH 4 PUSH [tag] 26,10,True,True,model,0.26,5,12,14,5,0,0,0,PUSH [tag] 28 PUSH [tag] 29 CALLDATASIZE PUSH 4 PUSH [tag] 26,5.0,5.0,12.0,14.0,True,
61,EthPriceMintModule_run_code_of_0_block_70_0_input,PUSH 40 DUP1 MLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP5 AND PUSH 24 DUP3 ADD MSTORE PUSH 44 DUP1 DUP3 ADD DUP5 SWAP1 MSTORE DUP3 MLOAD DUP1 DUP4 SUB SWAP1 SWAP2 ADD DUP2 MSTORE PUSH 64 SWAP1 SWAP2 ADD SWAP1 SWAP2 MSTORE PUSH 20 DUP2 ADD DUP1 MLOAD PUSH 1 PUSH 1 PUSH e0 SHL SUB AND PUSH a9059cbb PUSH e0 SHL OR SWAP1 MSTORE PUSH [tag] 102 SWAP1 DUP5 SWAP1 PUSH [tag] 104,10,False,False,unsat,118.64,60,80,180,60,0,0,0,,,,,,True,
62,EthPriceMintModule_run_code_of_0_block_5_0_input,DUP1 PUSH 6018401b EQ PUSH [tag] 7,10,True,True,model,0.21,4,10,12,4,0,0,0,DUP1 PUSH 6018401b EQ PUSH [tag] 7,4.0,4.0,10.0,12.0,True,
63,EthPriceMintModule_run_code_of_0_block_73_1_input,RETURNDATASIZE PUSH0,10,True,True,model,0.12,2,2,4,2,0,0,0,RETURNDATASIZE PUSH0,2.0,2.0,2.0,4.0,True,
64,EthPriceMintModule_run_code_of_0_block_125_0_input,PUSH0 DUP1 PUSH 40 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 188,10,True,True,model,0.61,9,12,26,9,0,0,0,PUSH0 DUP1 PUSH 40 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 188,9.0,9.0,12.0,26.0,True,
65,EthPriceMintModule_run_code_of_0_block_59_0_input,POP POP POP POP PUSH 40 MLOAD RETURNDATASIZE PUSH 1f NOT PUSH 1f DUP3 ADD AND DUP3 ADD DUP1 PUSH 40 MSTORE POP DUP2 ADD SWAP1 PUSH [tag] 82 SWAP2 SWAP1 PUSH [tag] 83,10,False,False,unsat,3.22,26,34,72,26,0,0,0,,,,,,True,
