,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
264,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_326_0_input,SWAP5 SWAP4 POP POP POP POP,10,TRUE,TRUE,model,0.16,6,6,14,6,0,0,0,SWAP5 SWAP4 POP POP POP POP,6,6,6,14,TRUE,
265,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_71_0_input,PUSH [tag] 41 PUSH [tag] 82 CALLDATASIZE PUSH 4 PUSH [tag] 50,10,TRUE,TRUE,model,0.24,5,12,14,5,0,0,0,PUSH [tag] 41 PUSH [tag] 82 CALLDATASIZE PUSH 4 PUSH [tag] 50,5,5,12,14,TRUE,
266,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_297_0_input,POP PUSH 1 ADD SWAP1,10,TRUE,TRUE,model,0.16,4,5,11,4,0,0,0,POP PUSH 1 ADD SWAP1,4,4,5,11,TRUE,
267,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block_52_0_input,POP DUP6 DUP3 LT ISZERO PUSH [tag] 58,10,TRUE,TRUE,model,0.23,6,8,17,6,0,0,0,POP DUP6 DUP3 LT ISZERO PUSH [tag] 58,6,6,8,17,TRUE,
268,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_175_0_input,DUP2 MSTORE PUSH 20 DUP1 DUP3 ADD SWAP3 SWAP1 SWAP3 MSTORE PUSH 40 SWAP1 DUP2 ADD PUSH0 SWAP1 DUP2 KECCAK256 DUP2 DUP1 MSTORE SWAP1 SWAP3,10,TRUE,FALSE,model,257.38,23,25,95,23,1,1,3,SWAP1 PUSH 20 PUSH 40 SWAP3 DUP3 MSTORE DUP2 DUP2 ADD PUSH0 SWAP5 SWAP1 MSTORE DUP4 SWAP2 DUP4 ADD DUP3 KECCAK256 SWAP2 DUP1 MSTORE,22,22,24,92,TRUE,
269,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_346_1_input,ADD SWAP1 POP,10,TRUE,TRUE,model,0.14,3,3,8,3,0,0,0,SWAP2 POP ADD,3,3,3,8,TRUE,
270,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_initial_block_71_0_input,PUSH [tag] 88 PUSH [tag] 50,10,TRUE,TRUE,model,0.14,2,6,6,2,0,0,0,PUSH [tag] 88 PUSH [tag] 50,2,2,6,6,TRUE,
271,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_594_0_input,POP POP POP POP PUSH 40 MLOAD RETURNDATASIZE PUSH 1f NOT PUSH 1f DUP3 ADD AND DUP3 ADD DUP1 PUSH 40,10,FALSE,FALSE,no_model,300.34,17,21,46,17,0,0,0,,,,,,TRUE,
272,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_139_1_input,PUSH 6472657373 PUSH d8 SHL PUSH 64 DUP3 ADD,10,TRUE,TRUE,model,0.27,6,13,18,6,0,0,0,PUSH 6472657373 PUSH d8 SHL DUP2 PUSH 64 ADD,6,6,13,18,TRUE,
273,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_396_2_input,POP PUSH 3 SSTORE PUSH 1 SWAP1,10,TRUE,TRUE,model,0.18,5,7,5011,5,0,0,0,POP PUSH 3 SSTORE PUSH 1 SWAP1,5,5,7,5011,TRUE,
274,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block_17_0_input,DUP6 DUP3 ADD DUP4 ADD MLOAD DUP2 DUP4 ADD DUP5 ADD MSTORE SWAP1 DUP3 ADD SWAP1 PUSH [tag] 25,10,TRUE,TRUE,model,143.13,17,19,51,17,1,1,3,DUP6 DUP3 ADD DUP4 ADD MLOAD DUP4 DUP3 DUP6 DUP6 ADD SWAP5 ADD ADD MSTORE PUSH [tag] 25,16,16,18,48,TRUE,
275,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_218_0_input,PUSH0 DUP1,10,TRUE,TRUE,model,0.13,2,2,5,2,0,0,0,PUSH0 DUP1,2,2,2,5,TRUE,
276,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_269_0_input,PUSH0 DUP1,10,TRUE,TRUE,model,0.12,2,2,5,2,0,0,0,PUSH0 DUP1,2,2,2,5,TRUE,
277,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_364_0_input,PUSH0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO PUSH [tag] 473,10,TRUE,TRUE,model,0.38,8,11,23,8,0,0,0,PUSH0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO PUSH [tag] 473,8,8,11,23,TRUE,
278,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block_36_0_input,PUSH0 DUP2 DUP2 MSTORE PUSH 20 DUP2 KECCAK256 PUSH 1f DUP6 ADD PUSH 5 SHR DUP2 ADD PUSH 20 DUP7 LT ISZERO PUSH [tag] 54,10,FALSE,FALSE,unsat,98.36,19,25,83,19,0,0,0,,,,,,TRUE,
279,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_Ownable_run_code_of_0_block_10_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD DUP2 SWAP1 MSTORE PUSH 24 DUP3 ADD MSTORE PUSH 4f776e61626c653a2063616c6c6572206973206e6f7420746865206f776e6572 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,79.67,22,63,66,22,1,1,3,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP1 PUSH 4 DUP4 ADD MSTORE PUSH 24 DUP3 ADD MSTORE PUSH 4f776e61626c653a2063616c6c6572206973206e6f7420746865206f776e6572 DUP2 PUSH 44 ADD,21,21,62,63,TRUE,
280,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_58_0_input,PUSH [tag] 30 PUSH [tag] 86 CALLDATASIZE PUSH 4 PUSH [tag] 32,10,TRUE,TRUE,model,0.17,5,12,14,5,0,0,0,PUSH [tag] 30 PUSH [tag] 86 CALLDATASIZE PUSH 4 PUSH [tag] 32,5,5,12,14,TRUE,
281,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_216_0_input,PUSH0 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB AND CALLER EQ PUSH [tag] 303,10,TRUE,TRUE,model,0.87,11,16,2128,11,0,1,0,PUSH 1 DUP1 PUSH a0 SHL SUB PUSH0 SLOAD AND CALLER EQ PUSH [tag] 303,11,11,15,2128,TRUE,
282,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_365_1_input,POP DUP1 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND DUP4 PUSH 9d269f611287207293fe95f8af8920c0aff4c3405977e0df82085459ca2905b PUSH 2 PUSH0 DUP6 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH 1 PUSH 1 PUSH a0 SHL SUB AND DUP2,10,TRUE,FALSE,model,52.79,26,68,76,26,1,8,6,PUSH 1 DUP5 PUSH 2 DUP3 DUP6 PUSH 9d269f611287207293fe95f8af8920c0aff4c3405977e0df82085459ca2905b PUSH0 SWAP3 PUSH a0 SHL DUP6 SWAP7 SWAP6 POP DUP2 SWAP6 SWAP2 POP PUSH0 SWAP8 POP SUB AND DUP1 SWAP6,25,25,60,70,TRUE,
283,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_115_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 104,10,TRUE,TRUE,model,0.17,4,6,11,4,0,0,0,CALLVALUE DUP1 ISZERO PUSH [tag] 104,4,4,6,11,TRUE,
284,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_379_0_input,PUSH 4 SLOAD PUSH 40 DUP1 MLOAD SWAP2 DUP3 MSTORE PUSH 20 DUP3 ADD DUP5 SWAP1 MSTORE PUSH 3164947cf0f49f08dd0cd80e671535b1e11590d347c55dcaa97ba3c24a96b33a SWAP2 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,10,TRUE,FALSE,model,258.47,23,59,2166,23,0,1,1,PUSH 40 DUP1 MLOAD DUP4 DUP2 PUSH 4 SLOAD DUP2 MSTORE PUSH 20 ADD MSTORE DUP2 MLOAD DUP1 DUP4 PUSH 3164947cf0f49f08dd0cd80e671535b1e11590d347c55dcaa97ba3c24a96b33a SWAP5 SWAP4 ADD SUB SWAP2 POP,23,23,58,2165,TRUE,
285,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_562_0_input,CALLER PUSH0 SWAP1 DUP2 MSTORE PUSH 18 PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 TIMESTAMP SWAP1,10,TRUE,TRUE,model,2.07,16,19,72,16,3,3,9,PUSH0 PUSH 20 PUSH 40 TIMESTAMP PUSH 18 DUP4 MSTORE CALLER DUP5 MSTORE DUP2 DUP5 KECCAK256,13,13,16,63,TRUE,
286,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_303_0_input,PUSH 40 DUP1 MLOAD PUSH 1f NOT DUP2 DUP5 SUB ADD DUP2 MSTORE SWAP2 SWAP1,10,TRUE,TRUE,model,1.35,13,15,39,13,1,1,3,DUP1 PUSH 40 DUP1 MLOAD DUP1 SWAP4 SUB PUSH 1f NOT ADD DUP4 MSTORE,12,12,14,36,TRUE,
