,Unnamed: 0,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason,category,real_savings
1832,1832,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_251_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 174 SWAP1 PUSH [tag] 181,10,TRUE,TRUE,model,1.91,12,22,36,12,1,1,3,PUSH [tag] 174 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 181,11,11,21,33,TRUE,,config3_5_size,1
1833,1833,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_117_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 126,10,TRUE,TRUE,model,0.14,4,6,11,4,0,0,1,CALLVALUE CALLVALUE ISZERO PUSH [tag] 126,4,4,6,10,TRUE,,config3_5_size,0
1835,1835,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_50_0_input,PUSH [tag] 57 PUSH [tag] 69 CALLDATASIZE PUSH 4 PUSH [tag] 32,10,TRUE,TRUE,model,0.11,5,12,14,5,0,0,0,PUSH [tag] 57 PUSH [tag] 69 CALLDATASIZE PUSH 4 PUSH [tag] 32,5,5,12,14,TRUE,,config3_5_size,0
1837,1837,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_178_1_input,DUP2 KECCAK256 SWAP2 SWAP1 SWAP2,10,TRUE,TRUE,model,0.15,5,5,42,5,1,1,3,DUP2 SWAP3 SWAP2 KECCAK256,4,4,4,39,TRUE,,config3_5_size,1
1839,1839,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_137_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP2 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 2 PUSH 20 MSTORE PUSH 40 DUP2 KECCAK256 SLOAD PUSH [tag] 132 SWAP1 PUSH [tag] 173,10,TRUE,FALSE,model,8.1,21,31,2186,21,1,2,3,PUSH0 PUSH [tag] 132 PUSH [tag] 173 DUP4 PUSH 1 DUP1 PUSH a0 SHL SUB AND DUP4 MSTORE PUSH 40 DUP4 PUSH 2 PUSH 20 MSTORE KECCAK256 SLOAD SWAP1,20,20,29,2183,TRUE,,config3_5_size,2
1842,1842,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_225_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 2c PUSH 24 DUP3 ADD MSTORE PUSH 455243373231456e756d657261626c653a20676c6f62616c20696e646578206f PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,8.46,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 2c PUSH 24 DUP3 ADD MSTORE PUSH 455243373231456e756d657261626c653a20676c6f62616c20696e646578206f PUSH 44 DUP3 ADD,21,21,63,63,TRUE,,config3_5_size,0
1843,1843,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_363_0_input,DUP3 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND DUP3 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND EQ PUSH [tag] 216,10,TRUE,TRUE,model,6.64,16,24,48,16,3,7,9,PUSH 1 DUP1 PUSH a0 SHL SUB DUP4 DUP2 AND SWAP1 DUP4 AND EQ PUSH [tag] 216,13,13,17,39,TRUE,,config3_5_size,7
1848,1848,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_27_0_input,PUSH [tag] 28 PUSH [tag] 29 CALLDATASIZE PUSH 4 PUSH [tag] 30,10,TRUE,TRUE,model,0.17,5,12,14,5,0,0,0,PUSH [tag] 28 PUSH [tag] 29 CALLDATASIZE PUSH 4 PUSH [tag] 30,5,5,12,14,TRUE,,config3_5_size,0
1849,1849,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_Owned_initial_block_0_0_input,PUSH 80 PUSH 40 MSTORE CALLVALUE DUP1 ISZERO PUSH [tag] 1,10,TRUE,TRUE,model,0.14,7,11,20,7,0,0,1,PUSH 80 PUSH 40 MSTORE CALLVALUE CALLVALUE ISZERO PUSH [tag] 1,7,7,11,19,TRUE,,config3_5_size,0
1851,1851,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_86_0_input,DUP1 PUSH 700037d EQ PUSH [tag] 4,10,TRUE,TRUE,model,0.14,4,10,12,4,0,0,0,PUSH 700037d DUP2 EQ PUSH [tag] 4,4,4,10,12,TRUE,,config3_5_size,0
1853,1853,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_142_1_input,PUSH e SLOAD PUSH 40 MLOAD PUSH 95ea7b3 PUSH e0 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP2 DUP3 AND PUSH 4 DUP3 ADD,10,TRUE,FALSE,model,266.07,20,31,2157,20,1,2,3,PUSH 1 DUP1 PUSH a0 SHL SUB PUSH 40 MLOAD DUP2 PUSH e SLOAD AND DUP2 PUSH 4 PUSH 95ea7b3 PUSH e0 SHL DUP5 MSTORE ADD,19,19,29,2154,TRUE,,config3_5_size,2
1856,1856,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_159_1_input,PUSH 72657373 PUSH e0 SHL PUSH 64 DUP3 ADD,10,TRUE,TRUE,model,0.22,6,12,18,6,0,0,0,PUSH 72657373 PUSH e0 SHL PUSH 64 DUP3 ADD,6,6,12,18,TRUE,,config3_5_size,0
1858,1858,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_33_0_input,DUP1 PUSH 42842e0e EQ PUSH [tag] 11,10,TRUE,TRUE,model,0.09,4,10,12,4,0,0,0,PUSH 42842e0e DUP2 EQ PUSH [tag] 11,4,4,10,12,TRUE,,config3_5_size,0
1859,1859,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_173_1_input,POP DUP2 ADD SWAP1 PUSH [tag] 236 SWAP2 SWAP1 PUSH [tag] 237,10,TRUE,TRUE,model,0.16,8,12,23,8,2,2,6,POP DUP2 ADD PUSH [tag] 236 SWAP2 PUSH [tag] 237,6,6,10,17,TRUE,,config3_5_size,2
1863,1863,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block_27_0_input,DUP2 MLOAD PUSH 1 PUSH 1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 45,10,TRUE,TRUE,model,0.48,11,16,33,11,0,1,0,DUP2 MLOAD PUSH 1 DUP1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 45,11,11,15,33,TRUE,,config3_5_size,1
1864,1864,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_390_1_input,PUSH 20 PUSH0 KECCAK256 SWAP1 PUSH 3 MUL ADD PUSH 1 ADD PUSH0 PUSH 100 EXP DUP2 SLOAD DUP2 PUSH ff MUL NOT AND SWAP1 DUP4 ISZERO ISZERO MUL OR SWAP1,10,TRUE,FALSE,model,42.09,26,32,2263,26,5,7,75,PUSH 1 PUSH0 PUSH 20 PUSH 3 PUSH ff SWAP5 MUL SWAP2 KECCAK256 ADD ADD SWAP1 NOT DUP2 SLOAD AND DUP3 ISZERO ISZERO OR SWAP1,21,21,25,2188,TRUE,,config3_5_size,7
1866,1866,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_51_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 53,10,TRUE,TRUE,model,0.13,4,6,11,4,0,0,1,CALLVALUE CALLVALUE ISZERO PUSH [tag] 53,4,4,6,10,TRUE,,config3_5_size,0
1867,1867,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block_35_0_input,PUSH0 DUP6 DUP2 MSTORE PUSH 20 DUP2 KECCAK256 PUSH 1f NOT DUP7 AND SWAP2,10,TRUE,TRUE,model,0.95,12,14,62,12,0,0,0,PUSH0 DUP6 DUP2 MSTORE PUSH 20 DUP2 KECCAK256 PUSH 1f NOT DUP7 AND SWAP2,12,12,14,62,TRUE,,config3_5_size,0
1868,1868,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_129_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP2 AND PUSH [tag] 219,10,TRUE,TRUE,model,0.25,8,13,24,8,0,1,0,DUP1 PUSH 1 DUP1 PUSH a0 SHL SUB AND PUSH [tag] 219,8,8,12,24,TRUE,,config3_5_size,1
1872,1872,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_355_0_input,SWAP5 POP PUSH [tag] 464,10,TRUE,TRUE,model,0.16,3,5,8,3,0,0,0,SWAP5 POP PUSH [tag] 464,3,3,5,8,TRUE,,config3_5_size,0
1874,1874,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_131_3_input,ISZERO DUP1 ISZERO PUSH [tag] 164,10,TRUE,TRUE,model,0.13,4,6,12,4,0,0,0,ISZERO DUP1 ISZERO PUSH [tag] 164,4,4,6,12,TRUE,,config3_5_size,0
1875,1875,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_113_1_input,PUSH 39 PUSH f9 SHL PUSH 64 DUP3 ADD,10,TRUE,TRUE,model,0.19,6,9,18,6,0,0,0,PUSH 39 PUSH f9 SHL DUP2 PUSH 64 ADD,6,6,9,18,TRUE,,config3_5_size,0
1877,1877,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_run_code_of_0_block_31_0_input,DUP1 PUSH 95ea7b3 EQ PUSH [tag] 4,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH 95ea7b3 DUP2 EQ PUSH [tag] 4,4,4,10,12,TRUE,,config3_5_size,0
1878,1878,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_469_0_input,PUSH 18 SLOAD DUP2 GT ISZERO PUSH [tag] 659,10,TRUE,TRUE,model,0.21,6,9,2115,6,0,0,0,PUSH 18 SLOAD DUP2 GT ISZERO PUSH [tag] 659,6,6,9,2115,TRUE,,config3_5_size,0
1881,1881,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_TokenRecover_run_code_of_0_block_27_1_input,POP DUP2 ADD SWAP1 PUSH [tag] 45 SWAP2 SWAP1 PUSH [tag] 46,10,TRUE,TRUE,model,0.25,8,12,23,8,2,2,6,POP DUP2 ADD PUSH [tag] 45 SWAP2 PUSH [tag] 46,6,6,10,17,TRUE,,config3_5_size,2
1883,1883,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_Owned_run_code_of_0_block_4_0_input,DUP1 PUSH 8da5cb5b EQ PUSH [tag] 4,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH 8da5cb5b DUP2 EQ PUSH [tag] 4,4,4,10,12,TRUE,,config3_5_size,0
1884,1884,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_82_1_input,PUSH 6c6c6f77616e6365 PUSH c0 SHL PUSH 64 DUP3 ADD,10,TRUE,TRUE,model,0.21,6,16,18,6,0,0,0,PUSH 6c6c6f77616e6365 PUSH c0 SHL PUSH 64 DUP3 ADD,6,6,16,18,TRUE,,config3_5_size,0
1885,1885,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_15_0_input,DUP1 PUSH c49b9a80 EQ PUSH [tag] 47,10,TRUE,TRUE,model,0.17,4,10,12,4,0,0,0,PUSH c49b9a80 DUP2 EQ PUSH [tag] 47,4,4,10,12,TRUE,,config3_5_size,0
1889,1889,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_131_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 137 SWAP1 PUSH [tag] 138,10,TRUE,TRUE,model,1.94,12,22,36,12,1,1,3,PUSH [tag] 137 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 138,11,11,21,33,TRUE,,config3_5_size,1
1890,1890,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_9_0_input,DUP1 PUSH f2fde38b EQ PUSH [tag] 22,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH f2fde38b DUP2 EQ PUSH [tag] 22,4,4,10,12,TRUE,,config3_5_size,0
1891,1891,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_43_0_input,DUP1 PUSH 2329a29 EQ PUSH [tag] 3,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH 2329a29 DUP2 EQ PUSH [tag] 3,4,4,10,12,TRUE,,config3_5_size,0
1892,1892,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_ERC20_run_code_of_0_block_95_0_input,SWAP2 POP PUSH 40 DUP5 ADD CALLDATALOAD SWAP1 POP SWAP3 POP SWAP3 POP SWAP3,10,TRUE,TRUE,model,1.52,13,14,35,13,3,3,8,SWAP5 POP POP SWAP2 PUSH 40 ADD CALLDATALOAD SWAP2 POP SWAP3,10,10,11,27,TRUE,,config3_5_size,3
1894,1894,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_run_code_of_0_block_38_0_input,PUSH 40 MLOAD PUSH [tag] 34 SWAP2 SWAP1 PUSH [tag] 35,10,TRUE,TRUE,model,0.18,6,11,18,6,1,1,3,PUSH [tag] 34 SWAP1 PUSH 40 MLOAD PUSH [tag] 35,5,5,10,15,TRUE,,config3_5_size,1
1896,1896,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_320_0_input,DUP1 DUP3 ADD DUP1 DUP3 GT ISZERO PUSH [tag] 313,10,TRUE,TRUE,model,0.29,8,10,24,8,0,0,0,DUP2 DUP2 ADD DUP1 DUP3 GT ISZERO PUSH [tag] 313,8,8,10,24,TRUE,,config3_5_size,0
1897,1897,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_100_0_input,POP PUSH [tag] 29 PUSH [tag] 112 CALLDATASIZE PUSH 4 PUSH [tag] 113,10,TRUE,TRUE,model,0.18,6,13,16,6,0,0,0,POP PUSH [tag] 29 PUSH [tag] 112 CALLDATASIZE PUSH 4 PUSH [tag] 113,6,6,13,16,TRUE,,config3_5_size,0
1904,1904,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_initial_block_3_3_input,PUSH 3 DUP1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP6 AND PUSH 1 PUSH 1 PUSH a0 SHL SUB NOT SWAP3 DUP4 AND OR SWAP1 SWAP3,10,TRUE,FALSE,model,119.8,23,30,2166,23,0,4,1,PUSH 3 PUSH 1 DUP2 DUP5 DUP3 DUP4 PUSH a0 SHL SUB SWAP4 SLOAD DUP5 NOT AND SWAP2 SWAP3 POP DUP4 AND OR DUP3 NOT SWAP2,23,23,26,2165,TRUE,,config3_5_size,4
1905,1905,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_291_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP16 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 2 PUSH 20,10,TRUE,TRUE,model,1.32,13,18,38,13,0,1,0,PUSH 1 DUP1 PUSH a0 SHL SUB DUP16 PUSH0 SWAP2 AND DUP2 MSTORE PUSH 2 PUSH 20,13,13,17,38,TRUE,,config3_5_size,1
1906,1906,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_0_0_input,PUSH 80 PUSH 40 MSTORE CALLVALUE DUP1 ISZERO PUSH [tag] 1,10,TRUE,TRUE,model,0.2,7,11,20,7,0,0,1,PUSH 80 PUSH 40 MSTORE CALLVALUE CALLVALUE ISZERO PUSH [tag] 1,7,7,11,19,TRUE,,config3_5_size,0
1907,1907,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_369_0_input,PUSH0 PUSH b SLOAD DUP4 GT ISZERO PUSH [tag] 441,10,TRUE,TRUE,model,0.24,7,10,2117,7,0,0,0,PUSH0 PUSH b SLOAD DUP4 GT ISZERO PUSH [tag] 441,7,7,10,2117,TRUE,,config3_5_size,0
1913,1913,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_274_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 2f PUSH 24 DUP3 ADD MSTORE PUSH 4552433732314d657461646174613a2055524920717565727920666f72206e6f PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,7.36,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 2f PUSH 24 DUP3 ADD MSTORE PUSH 4552433732314d657461646174613a2055524920717565727920666f72206e6f PUSH 44 DUP3 ADD,21,21,63,63,TRUE,,config3_5_size,0
1914,1914,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_236_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 257,10,TRUE,TRUE,model,0.14,4,6,11,4,0,0,1,CALLVALUE CALLVALUE ISZERO PUSH [tag] 257,4,4,6,10,TRUE,,config3_5_size,0
1915,1915,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_18_0_input,DUP1 PUSH 45596e2e EQ PUSH [tag] 9,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH 45596e2e DUP2 EQ PUSH [tag] 9,4,4,10,12,TRUE,,config3_5_size,0
1919,1919,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_131_0_input,PUSH 60 DUP2 PUSH0 SUB PUSH [tag] 201,10,TRUE,TRUE,model,0.12,5,8,14,5,0,0,0,PUSH 60 DUP2 PUSH0 SUB PUSH [tag] 201,5,5,8,14,TRUE,,config3_5_size,0
1922,1922,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_213_0_input,DUP1 ISZERO PUSH [tag] 280,10,TRUE,TRUE,model,0.12,3,5,9,3,0,0,0,DUP1 ISZERO PUSH [tag] 280,3,3,5,9,TRUE,,config3_5_size,0
1924,1924,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_initial_block_7_2_input,ADDRESS DUP2 MSTORE PUSH 5 SWAP1 SWAP4 MSTORE DUP2 DUP4 KECCAK256 DUP1 SLOAD DUP6 AND PUSH 1 SWAP1 DUP2 OR SWAP1 SWAP2,10,TRUE,TRUE,model,91.21,20,22,2183,20,2,2,6,DUP3 DUP2 ADDRESS DUP4 MSTORE PUSH 5 PUSH 1 SWAP4 SWAP7 MSTORE KECCAK256 DUP1 SLOAD DUP7 AND DUP3 OR SWAP1,18,18,20,2177,TRUE,,config3_5_size,2
1927,1927,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_322_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 19 PUSH 24 DUP3 ADD MSTORE PUSH 546f6b656e20697320746865207a65726f206164647265737300000000000000 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,7.73,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 19 PUSH 24 DUP3 ADD MSTORE PUSH 546f6b656e20697320746865207a65726f206164647265737300000000000000 PUSH 44 DUP3 ADD,21,21,63,63,TRUE,,config3_5_size,0
1930,1930,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_442_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 26 PUSH 24 DUP3 ADD MSTORE PUSH 4f776e61626c653a206e6577206f776e657220697320746865207a65726f2061 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,7.49,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 26 PUSH 24 DUP3 ADD MSTORE PUSH 4f776e61626c653a206e6577206f776e657220697320746865207a65726f2061 PUSH 44 DUP3 ADD,21,21,63,63,TRUE,,config3_5_size,0
1931,1931,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_19_0_input,DUP1 PUSH 39509351 EQ PUSH [tag] 9,10,TRUE,TRUE,model,0.14,4,10,12,4,0,0,0,PUSH 39509351 DUP2 EQ PUSH [tag] 9,4,4,10,12,TRUE,,config3_5_size,0
1936,1936,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_run_code_of_0_block_72_0_input,PUSH [tag] 46 PUSH [tag] 106 CALLDATASIZE PUSH 4 PUSH [tag] 107,10,TRUE,TRUE,model,0.17,5,12,14,5,0,0,0,PUSH [tag] 46 PUSH [tag] 106 CALLDATASIZE PUSH 4 PUSH [tag] 107,5,5,12,14,TRUE,,config3_5_size,0
1939,1939,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_SafeERC20_initial_block_0_1_input,DUP1 MLOAD PUSH0 BYTE PUSH 73 EQ PUSH [tag] 1,10,TRUE,TRUE,model,0.23,7,10,20,7,0,0,0,PUSH 73 DUP2 MLOAD PUSH0 BYTE EQ PUSH [tag] 1,7,7,10,20,TRUE,,config3_5_size,0
1941,1941,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_43_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 42,10,TRUE,TRUE,model,0.13,4,6,11,4,0,0,1,CALLVALUE CALLVALUE ISZERO PUSH [tag] 42,4,4,6,10,TRUE,,config3_5_size,0
1942,1942,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_initial_block_17_0_input,DUP6 DUP3 ADD DUP4 ADD MLOAD DUP2 DUP4 ADD DUP5 ADD MSTORE SWAP1 DUP3 ADD SWAP1 PUSH [tag] 25,10,TRUE,TRUE,model,14.41,17,19,51,17,1,1,3,PUSH [tag] 25 DUP4 DUP4 DUP9 ADD ADD MLOAD DUP5 DUP4 DUP7 DUP7 ADD SWAP6 ADD ADD MSTORE,16,16,18,48,TRUE,,config3_5_size,1
1947,1947,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_521_0_input,CALLER PUSH [tag] 645 PUSH [tag] 102,10,TRUE,TRUE,model,0.12,3,7,8,3,0,0,0,CALLER PUSH [tag] 645 PUSH [tag] 102,3,3,7,8,TRUE,,config3_5_size,0
1949,1949,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_259_0_input,POP PUSH [tag] 92 PUSH [tag] 282 CALLDATASIZE PUSH 4 PUSH [tag] 283,10,TRUE,TRUE,model,0.19,6,13,16,6,0,0,0,POP PUSH [tag] 92 PUSH [tag] 282 CALLDATASIZE PUSH 4 PUSH [tag] 283,6,6,13,16,TRUE,,config3_5_size,0
1950,1950,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_352_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 350 SWAP1 PUSH [tag] 351,10,TRUE,TRUE,model,1.86,12,22,36,12,1,1,3,PUSH [tag] 350 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 351,11,11,21,33,TRUE,,config3_5_size,1
1960,1960,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_197_0_input,SWAP6 SWAP2 SWAP5 POP SWAP1 SWAP3 POP POP POP,10,TRUE,TRUE,model,0.17,9,9,23,9,2,2,6,SWAP4 POP POP SWAP3 POP POP SWAP2,7,7,7,17,TRUE,,config3_5_size,2
1964,1964,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_410_2_input,SWAP1 SWAP2,10,TRUE,TRUE,model,0.13,2,2,6,2,0,0,0,SWAP1 SWAP2,2,2,2,6,TRUE,,config3_5_size,0
1965,1965,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_186_0_input,PUSH0 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP5 DUP2 AND SWAP2 AND EQ DUP1 ISZERO SWAP1 PUSH [tag] 258,10,TRUE,TRUE,model,22.09,17,22,2147,17,0,1,0,PUSH [tag] 258 PUSH 1 DUP1 PUSH a0 SHL SUB DUP5 DUP2 PUSH0 SLOAD AND SWAP2 AND EQ DUP1 ISZERO SWAP2,17,17,21,2147,TRUE,,config3_5_size,1
1966,1966,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_324_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 153 SWAP2 SWAP1 PUSH [tag] 34,10,TRUE,TRUE,model,1.95,13,23,39,13,1,1,3,PUSH [tag] 153 SWAP1 PUSH 4 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE ADD PUSH [tag] 34,12,12,22,36,TRUE,,config3_5_size,1
1967,1967,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_initial_block_10_0_input,DUP2 DUP2 SUB DUP2 DUP2 GT ISZERO PUSH [tag] 30,10,TRUE,TRUE,model,0.18,8,10,24,8,0,0,0,DUP2 DUP2 SUB DUP2 DUP2 GT ISZERO PUSH [tag] 30,8,8,10,24,TRUE,,config3_5_size,0
1969,1969,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_537_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 350 SWAP1 PUSH [tag] 351,10,TRUE,TRUE,model,1.25,12,22,36,12,1,1,3,PUSH [tag] 350 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 351,11,11,21,33,TRUE,,config3_5_size,1
