,Unnamed: 0,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason,category,real_savings
3953,3953,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_40_0_input,DUP1 PUSH 8b876347 EQ PUSH [tag] 37,10,TRUE,TRUE,model,0.14,4,10,12,4,0,0,0,PUSH 8b876347 DUP2 EQ PUSH [tag] 37,4,4,10,12,TRUE,,config3_5_size,0
3954,3954,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_195_0_input,DUP1 ISZERO PUSH [tag] 259,10,TRUE,TRUE,model,0.08,3,5,9,3,0,0,0,DUP1 ISZERO PUSH [tag] 259,3,3,5,9,TRUE,,config3_5_size,0
3956,3956,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_198_0_input,SWAP6 POP PUSH 40 DUP9 ADD CALLDATALOAD SWAP5 POP PUSH 60 DUP9 ADD CALLDATALOAD SWAP4 POP PUSH 80 DUP9 ADD CALLDATALOAD PUSH ff DUP2 AND DUP2 EQ PUSH [tag] 323,10,FALSE,FALSE,no_model,300.47,24,30,69,24,0,0,0,,,,,,TRUE,,config3_5_size,0
3957,3957,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_181_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 174 SWAP1 PUSH [tag] 202,10,TRUE,TRUE,model,1.93,12,22,36,12,1,1,3,PUSH [tag] 174 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 202,11,11,21,33,TRUE,,config3_5_size,1
3958,3958,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_453_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP3 AND PUSH [tag] 636,10,TRUE,TRUE,model,0.29,8,13,24,8,0,1,0,PUSH 1 DUP1 PUSH a0 SHL SUB DUP3 AND PUSH [tag] 636,8,8,12,24,TRUE,,config3_5_size,1
3959,3959,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_126_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 137,10,TRUE,TRUE,model,0.13,4,6,11,4,0,0,1,CALLVALUE CALLVALUE ISZERO PUSH [tag] 137,4,4,6,10,TRUE,,config3_5_size,0
3961,3961,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_ERC20_run_code_of_0_block_103_0_input,SWAP2 POP PUSH [tag] 163 PUSH 20 DUP5 ADD PUSH [tag] 138,10,TRUE,TRUE,model,0.2,7,12,20,7,0,0,0,SWAP2 POP PUSH [tag] 163 DUP4 PUSH 20 ADD PUSH [tag] 138,7,7,12,20,TRUE,,config3_5_size,0
3963,3963,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_571_0_input,DUP1 MLOAD SWAP1 SWAP2 POP ISZERO PUSH [tag] 435,10,TRUE,TRUE,model,0.17,7,9,20,7,1,1,3,SWAP1 POP DUP1 MLOAD ISZERO PUSH [tag] 435,6,6,8,17,TRUE,,config3_5_size,1
3969,3969,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_5_0_input,DUP1 PUSH f0f165af EQ PUSH [tag] 54,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH f0f165af DUP2 EQ PUSH [tag] 54,4,4,10,12,TRUE,,config3_5_size,0
3970,3970,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_298_0_input,DUP2 SLOAD DUP2 MSTORE SWAP1 PUSH 1 ADD SWAP1 PUSH 20 ADD DUP1 DUP4 GT PUSH [tag] 327,10,TRUE,TRUE,model,7.95,14,18,2139,14,1,1,3,PUSH 1 DUP3 ADD SWAP2 SLOAD DUP2 MSTORE PUSH 20 ADD DUP1 DUP4 GT PUSH [tag] 327,13,13,17,2136,TRUE,,config3_5_size,1
3972,3972,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_211_0_input,ADD SSTORE PUSH 40 DUP1 MLOAD CALLER DUP2 MSTORE PUSH 20 DUP2 ADD DUP9 SWAP1 MSTORE PUSH ff DUP8 AND DUP2 DUP4 ADD,10,FALSE,FALSE,no_model,300.28,20,23,5056,20,0,0,0,,,,,,TRUE,,config3_5_size,0
3975,3975,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_179_0_input,POP PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP3 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 4 PUSH 20 MSTORE PUSH 40 SWAP1 KECCAK256 SLOAD PUSH ff AND ISZERO,10,TRUE,FALSE,model,15.81,22,29,2188,22,1,2,3,PUSH 40 PUSH0 PUSH 4 PUSH 20 PUSH 1 DUP1 PUSH a0 SHL SUB DUP8 PUSH ff SWAP7 POP AND DUP4 MSTORE MSTORE KECCAK256 SLOAD AND ISZERO,21,21,27,2185,TRUE,,config3_5_size,2
3977,3977,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block_20_0_input,PUSH0 DUP2 DUP2 MSTORE PUSH 20 DUP2 KECCAK256 PUSH 1f DUP6 ADD PUSH 5 SHR DUP2 ADD PUSH 20 DUP7 LT ISZERO PUSH [tag] 38,10,TRUE,TRUE,model,31.86,19,25,83,19,0,0,0,PUSH0 DUP2 DUP2 MSTORE PUSH 20 DUP2 KECCAK256 PUSH 1f DUP6 ADD PUSH 5 SHR DUP2 ADD PUSH 20 DUP7 LT ISZERO PUSH [tag] 38,19,19,25,83,TRUE,,config3_5_size,0
3978,3978,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_92_2_input,SWAP1 SWAP2,10,TRUE,TRUE,model,0.12,2,2,6,2,0,0,0,SWAP1 SWAP2,2,2,2,6,TRUE,,config3_5_size,0
3979,3979,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_217_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP5 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 6 PUSH 20 MSTORE PUSH 40 SWAP1 KECCAK256 PUSH 1 ADD SLOAD TIMESTAMP GT PUSH [tag] 283,10,TRUE,FALSE,model,50.72,23,32,2191,23,1,3,3,PUSH 1 PUSH0 PUSH 6 PUSH 20 DUP8 DUP5 DUP6 PUSH a0 SHL SUB AND DUP4 MSTORE MSTORE PUSH 40 SWAP1 KECCAK256 ADD SLOAD TIMESTAMP GT PUSH [tag] 283,22,22,29,2188,TRUE,,config3_5_size,3
3981,3981,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_505_0_input,PUSH 9 SLOAD PUSH d SLOAD PUSH [tag] 505 SWAP2 PUSH [tag] 327,10,TRUE,TRUE,model,0.2,7,13,4215,7,1,1,3,PUSH [tag] 505 PUSH d SLOAD PUSH 9 SLOAD PUSH [tag] 327,6,6,12,4212,TRUE,,config3_5_size,1
3983,3983,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block_21_0_input,DUP3 MLOAD PUSH 1 PUSH 1 PUSH 40 SHL SUB DUP1 DUP3 GT ISZERO PUSH [tag] 30,10,TRUE,TRUE,model,1.01,12,17,36,12,0,1,0,DUP3 MLOAD PUSH 1 DUP1 PUSH 40 SHL SUB DUP1 DUP3 GT ISZERO PUSH [tag] 30,12,12,16,36,TRUE,,config3_5_size,1
3984,3984,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_23_0_input,DUP1 PUSH c3f344a8 EQ PUSH [tag] 47,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH c3f344a8 DUP2 EQ PUSH [tag] 47,4,4,10,12,TRUE,,config3_5_size,0
3986,3986,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_191_2_input,SWAP1 MLOAD SWAP3 DUP3 ADD SWAP3 SWAP1 SWAP3,10,TRUE,TRUE,model,0.16,8,8,24,8,2,2,6,SWAP3 SWAP1 MLOAD SWAP1 DUP3 ADD,6,6,6,18,TRUE,,config3_5_size,2
3987,3987,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_434_0_input,PUSH 14 SSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP2 AND ISZERO PUSH [tag] 523,10,TRUE,TRUE,model,0.6,11,17,5030,11,0,1,0,PUSH 14 SSTORE DUP1 PUSH 1 DUP1 PUSH a0 SHL SUB AND ISZERO PUSH [tag] 523,11,11,16,5030,TRUE,,config3_5_size,1
3988,3988,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_81_2_input,SWAP1 KECCAK256 SLOAD DUP3 DUP2 LT ISZERO PUSH [tag] 122,10,TRUE,TRUE,model,0.28,8,10,2148,8,0,0,0,SWAP1 KECCAK256 SLOAD DUP3 DUP2 LT ISZERO PUSH [tag] 122,8,8,10,2148,TRUE,,config3_5_size,0
3989,3989,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_84_1_input,PUSH 32b73a103a37b5b2b7 PUSH b9 SHL PUSH 64 DUP3 ADD,10,TRUE,TRUE,model,0.19,6,17,18,6,0,0,0,PUSH 32b73a103a37b5b2b7 PUSH b9 SHL PUSH 64 DUP3 ADD,6,6,17,18,TRUE,,config3_5_size,0
3990,3990,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_121_2_input,PUSH e0 ADD PUSH 40 MLOAD PUSH 20 DUP2 DUP4 SUB SUB DUP2 MSTORE SWAP1 PUSH 40,10,TRUE,TRUE,model,1.05,13,17,39,13,0,0,0,PUSH e0 ADD PUSH 40 MLOAD PUSH 20 DUP2 DUP4 SUB SUB DUP2 MSTORE SWAP1 PUSH 40,13,13,17,39,TRUE,,config3_5_size,0
3995,3995,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_508_0_input,POP DUP6 DUP4 ADD MLOAD,10,TRUE,TRUE,model,0.14,5,5,14,5,0,0,0,POP DUP3 DUP7 ADD MLOAD,5,5,5,14,TRUE,,config3_5_size,0
3997,3997,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_25_0_input,DUP1 PUSH 8da5cb5b GT PUSH [tag] 65,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,DUP1 PUSH 8da5cb5b GT PUSH [tag] 65,4,4,10,12,TRUE,,config3_5_size,0
3998,3998,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_213_0_input,DUP1 ISZERO PUSH [tag] 285,10,TRUE,TRUE,model,0.12,3,5,9,3,0,0,0,DUP1 ISZERO PUSH [tag] 285,3,3,5,9,TRUE,,config3_5_size,0
4001,4001,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_255_0_input,PUSH0 PUSH [tag] 406 CALLER PUSH [tag] 91,10,TRUE,TRUE,model,0.15,4,8,10,4,0,0,0,PUSH0 PUSH [tag] 406 CALLER PUSH [tag] 91,4,4,8,10,TRUE,,config3_5_size,0
4003,4003,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_38_0_input,DUP1 PUSH 8203f5fe EQ PUSH [tag] 35,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH 8203f5fe DUP2 EQ PUSH [tag] 35,4,4,10,12,TRUE,,config3_5_size,0
4007,4007,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_85_0_input,PUSH0 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP3 AND PUSH [tag] 124,10,TRUE,TRUE,model,0.21,9,14,26,9,0,1,0,PUSH0 PUSH 1 DUP1 PUSH a0 SHL SUB DUP3 AND PUSH [tag] 124,9,9,13,26,TRUE,,config3_5_size,1
4015,4015,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_182_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND PUSH [tag] 256,10,TRUE,TRUE,model,0.3,8,13,24,8,0,1,0,DUP3 PUSH 1 DUP1 PUSH a0 SHL SUB AND PUSH [tag] 256,8,8,12,24,TRUE,,config3_5_size,1
